dataset,k,n_muestras,n_features,consistencia_vecinal_media,knn_bac_media,knn_bac_std,knn_f1_macro_media,knn_f1_macro_std,jaccard_media,jaccard_std,margen_local_media,margen_local_n_validos,margen_local_n_total
us_crime,1,1994,100,0.9207622868605817,0.6473316542948039,0.05626349980071689,0.6670151664624708,0.06214659365510096,0.9272818455366099,0.2597384415222739,0.0,0,1994
us_crime,3,1994,100,0.9162487462387161,0.653840874278308,0.044002272897475686,0.6908546705083014,0.052974131989978565,0.9051153460381143,0.19733272015496764,1.007063627931335,228,1994
us_crime,5,1994,100,0.9142427281845537,0.6304262401319666,0.04733317188617687,0.6736616966460309,0.06084720929021203,0.9042365190810526,0.15488938570071337,1.0110344801125983,336,1994
us_crime,7,1994,100,0.9128098581458662,0.6243015788853541,0.04469819587593596,0.6675220368112817,0.056533078269836015,0.9100412348155578,0.1289745128504386,1.0098916952859587,413,1994
shuttle,1,58000,9,0.9983103448275862,0.9111518211981521,0.016520766961843462,0.905721778593629,0.0074795266451410155,0.7047413793103449,0.45616286045977417,0.0,0,58000
shuttle,3,58000,9,0.9979137931034483,0.9083880123847143,0.04678104782557291,0.9036385296584444,0.047873536435868835,0.8486517241379311,0.2365102061625571,1.432963739793616,180,58000
shuttle,5,58000,9,0.9974206896551724,0.9016819618215159,0.055872757068803625,0.8781553015205394,0.04428151786855004,0.8616262999452653,0.1828667229224497,1.42163116891886,325,58000
shuttle,7,58000,9,0.9971600985221675,0.8600918663611538,0.04599838061317864,0.8490717616344193,0.03958795523474713,0.8836688871473355,0.1490222497815958,1.3491059920197188,381,58000
wdbc,1,569,30,0.9156414762741653,0.9056438111875386,0.019079140606485308,0.9073586487875709,0.015214660243866933,0.9982425307557118,0.04192218081503185,0.0,0,569
wdbc,3,569,30,0.9173989455184535,0.9198093600361862,0.032540955014602836,0.922193931900529,0.028779376785950415,0.9991212653778558,0.020961090407515925,1.0397049828084708,65,569
wdbc,5,569,30,0.9114235500878733,0.9263211699135381,0.029341416794441553,0.9296289544147232,0.024484226630691143,0.9982425307557118,0.02416113250864768,1.0731351369889381,102,569
wdbc,7,569,30,0.9066030630178258,0.9168527313753321,0.03189398507822,0.921527258440265,0.0249513808901147,0.9982425307557118,0.020905662129599177,1.100779939884771,126,569
glass,1,214,9,0.7336448598130841,0.6948412698412698,0.07507554774013124,0.6731376760367305,0.07430604925215466,0.897196261682243,0.3044144518310718,0.0,0,214
glass,3,214,9,0.6728971962616822,0.5839484126984127,0.10765137810654747,0.5787151481979067,0.10077926797804347,0.9046728971962618,0.2052746597333827,9160710.61688841,79,214
glass,5,214,9,0.6299065420560748,0.5067261904761905,0.08388565312271004,0.5015632728599206,0.09866073233586763,0.9261237205162438,0.14330114248061598,1.163968541092705,131,214
glass,7,214,9,0.6054739652870494,0.47321428571428575,0.04865239581504404,0.4637010401263275,0.06514266957889225,0.9335410176531671,0.11951505897196225,1.1635661776487642,153,214
heart,1,303,13,0.41914191419141916,0.24144480519480518,0.030703810822679235,0.23849812659294659,0.032022585457306275,0.9966996699669967,0.05744849896214261,0.0,0,303
heart,3,303,13,0.4037403740374037,0.2045238095238095,0.023861660744167876,0.185263048604512,0.039266849616168525,1.0,0.0,1.032810731757178,160,303
heart,5,303,13,0.401980198019802,0.2050595238095238,0.021121596667318453,0.18129623855597327,0.0282802992095143,0.9955995599559955,0.03810829771163065,1.022282874834805,206,303
heart,7,303,13,0.4064120697784064,0.21585497835497836,0.028257998541124516,0.1907933505796795,0.03725907546216621,0.9966996699669967,0.028581223283722975,1.0129529698361939,238,303
ecoli,1,336,7,0.8125,0.7307684515812595,0.09635789552479812,0.6681355077239254,0.12400105993687763,0.6964285714285714,0.4604855136869834,0.0,0,336
ecoli,3,336,7,0.802579365079365,0.743217777706694,0.09138434319995332,0.7134756139734126,0.12182645521158138,0.7113095238095238,0.2812393881753854,1.0428101763477047,92,336
ecoli,5,336,7,0.7958333333333333,0.7539660770264219,0.08593650658247624,0.7364675444258705,0.0965470195974929,0.7356859410430839,0.21141390616382402,1.0680404629093525,134,336
ecoli,7,336,7,0.7925170068027211,0.7642381858699594,0.08388374806394525,0.7485028130787862,0.09281351969355425,0.756167328042328,0.17522181199093612,1.0610172746916915,165,336
predict_faults,1,10000,5,0.9541,0.3008548105953227,0.028762767748635138,0.3187382846797613,0.03326606957692369,0.9934,0.08097589585531585,0.0,0,10000
predict_faults,3,10000,5,0.9529333333333334,0.2646497755003876,0.0182580824967625,0.2949589724391378,0.020215540203450198,0.99325,0.057704163429060346,1.0682022324282339,618,10000
predict_faults,5,10000,5,0.95194,0.24844662113716795,0.033289034839029334,0.2788513945636749,0.03987182555302903,0.9944666666666666,0.04259117358647698,1.0429176198253873,939,10000
predict_faults,7,10000,5,0.952,0.25059763981015615,0.021181551592543525,0.28456238249079885,0.02692414564923586,0.994,0.03826416619556036,1.0315940695096795,1165,10000
gear_vibration,1,90,9,0.6444444444444445,0.6166666666666667,0.15138251770487457,0.5906390831390831,0.13782759756859705,0.4777777777777778,0.502304303170668,0.0,0,90
gear_vibration,3,90,9,0.437037037037037,0.33333333333333337,0.11620278146306606,0.3054341736694678,0.10521627624670092,0.648888888888889,0.3105791778562315,3.8698732349845595,63,90
gear_vibration,5,90,9,0.3444444444444445,0.21111111111111108,0.13117465503463996,0.17093137254901958,0.1194584196915401,0.7902116402116403,0.22027028800171092,4.146337757240562,82,90
gear_vibration,7,90,9,0.2746031746031745,0.12777777777777777,0.04212708580028639,0.07761069340016709,0.023392558766004767,0.8400673400673401,0.15586113780886798,4.860227341187994,82,90
telco_churn,1,7043,30,0.716314070708505,0.6380371278224595,0.015901741524237258,0.6369122224715061,0.01521910329383199,0.9836717307965356,0.12674359023502288,0.0,0,7043
telco_churn,3,7043,30,0.7141369681480428,0.6553867284890329,0.009196503286796892,0.6626553641692101,0.009218841648165377,0.9869657816271475,0.08285540588058847,137703.6756433144,3081,7043
telco_churn,5,7043,30,0.7135879596762743,0.6636487294888773,0.016993056236982676,0.6745869714748315,0.018341051625704992,0.9893156325429504,0.06313991075322481,85939.98955186582,4114,7043
telco_churn,7,7043,30,0.7127441634043933,0.6691148895811094,0.010016209806653884,0.6817480113654926,0.010823865933504118,0.9906416142111157,0.05146456304640957,1.0595312016742555,4706,7043
